"osm_id","name","access","addr:city","addr:country","addr:housenumber","addr:postcode","addr:state","addr:street","addr:unit","amenity","amenity_1","amenity_2","amenity_3","atm","attribution","brand","brand:website","brand:wikidata","building","car_wash","check_date","compressed_air","cuisine","dataset","dcgis:full_service","dcgis:gis_id","description","ele","fuel:NONE","fuel:diesel","fuel:e10","fuel:electricity","fuel:gasoline","fuel:gasoline_87","fuel:gasoline_89","fuel:gasoline_93","fuel:kerosene","fuel:octane_87","fuel:octane_89","fuel:octane_91","fuel:octane_93","fuel:octane_95","fuel:propane","fuel:propane_tank","full_service","gas","highway","internet","internet_access","layer","level","name:en","note","official_name","old_name","opening_hours","operator","payment:american_express","payment:apple_pay","payment:cash","payment:credit_cards","payment:debit_cards","payment:discover_card","payment:exxonmobil_fleet","payment:google_pay","payment:mastercard","payment:unionpay","payment:visa","phone","ref","restaurant","restroom","self_service","service:vehicle:car_repair","shop","source","toilets","vacuum_cleaner","website","wheelchair","wpt_description","LON","LAT"
"343312378","Shell",NA,"Tysons",NA,"8411","22182","VA","Leesburg Pike",NA,"fuel",NA,NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.2373506","38.9239327"
"577352248","Exxon Mobil",NA,"Herndon",NA,"2601","20171","VA","Quincy Adams Drive",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/7",NA,NA,"yes",NA,NA,NA,NA,"yes","yes",NA,NA,NA,"+1 703-860-8972","200317576",NA,NA,"yes",NA,NA,NA,"yes",NA,"https://www.exxon.com/en/find-station/exxon-herndon-va-aplus83-200317576",NA,NA,"-77.3766405","38.9254539"
"663104641","Exxon",NA,"Vienna",NA,"395","22180","VA","East Maple Avenue",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Th 05:00-23:00; Fr 05:00-12:00; Sa 06:00-12:00; Su 06:00-23:00",NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"+1 703-255-2273","200311093",NA,NA,"yes",NA,NA,NA,NA,NA,"https://www.exxon.com/en/find-station/exxon-vienna-va-viennatigermart-200311093",NA,NA,"-77.2584211","38.9067171"
"755406017","7-Eleven",NA,"Sterling",NA,"712","20164-4610","VA","West Church Street",NA,"fuel",NA,NA,NA,NA,NA,"7-Eleven",NA,"Q259340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1 703-444-1215",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.7-eleven.com/locations/va/sterling/712-w-church-st-10656",NA,NA,"-77.4136701","39.0072292"
"755406053","Sunoco",NA,"Sterling",NA,"716","20164","VA","West Church Road",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.4141065","39.0072941"
"755406109","Shell",NA,"Sterling",NA,"100","20164","VA","Commerce Street",NA,"fuel",NA,NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"-77.4017597","39.0000443"
"778710048","Exxon",NA,"Vienna",NA,"2081","22180","VA","Chain Bridge Road",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Su 05:00-00:00","Exxon",NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"+1 703-893-6644","200311092",NA,NA,"yes",NA,NA,NA,"yes",NA,"https://www.exxon.com/en/find-station/exxon-vienna-va-westsideexxon-200311092",NA,NA,"-77.2375616","38.9159854"
"778710049","Shell",NA,"Vienna",NA,"2084","22182","VA","Chain Bridge Road",NA,"fuel",NA,NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sunoco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.2381946","38.9165364"
"778710050","Sunoco",NA,"Vienna",NA,"2210","22027","VA","Gallows Road",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sunoco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.2242149","38.9010205"
"778710051","Sunoco",NA,"Vienna",NA,"2212","22027","VA","Gallows Road",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sunoco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.2242257","38.9002356"
"778710052","Shell",NA,"Vienna",NA,"2530","22180","VA","Cedar Lane",NA,"fuel",NA,NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"knowledge",NA,NA,NA,NA,NA,"-77.242496","38.8885857"
"840575883","Exxon Mobil",NA,"Reston",NA,"11808","20190","VA","Baron Cameron Avenue",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/7",NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"+1 703-435-8989","200314440",NA,NA,"yes",NA,NA,NA,"yes",NA,"https://www.exxon.com/en/find-station/exxon-reston-va-restontowncenterexxon-200314440",NA,NA,"-77.3563999","38.9668985"
"844292003","Exxon",NA,"Fairfax",NA,"10485","22030","VA","Fairfax Boulevard",NA,"fuel",NA,NA,NA,NA,NA,"Exxon",NA,"Q109675651",NA,NA,NA,NA,NA,NA,NA,NA,NA,"109.2347412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30-JUL-10 16:34:56","-77.3070093","38.8581557"
"924685949","Exxon Mobil",NA,"Reston",NA,"1818","20190-5209","VA","Wiehle Avenue",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Su 06:00-23:00",NA,NA,"yes",NA,NA,NA,NA,"yes","yes",NA,NA,NA,"+1 703-467-8270","200317573",NA,NA,"yes",NA,NA,NA,NA,NA,"https://www.exxon.com/en/find-station/exxon-reston-va-aplus80-200317573",NA,NA,"-77.3358103","38.9513932"
"927130487","Sunoco",NA,"Reston",NA,"11190",NA,"VA","South Lakes Drive",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.3294548","38.9381703"
"932105011","Sunoco",NA,"Reston",NA,"12191",NA,"VA","Sunset Hills Road",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.3677141","38.9541128"
"932654239","Exxon Mobil",NA,"Reston",NA,"11854","20191-3302","VA","Sunrise Valley Drive",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Su 06:00-23:00",NA,NA,"yes",NA,NA,NA,NA,"yes","yes",NA,NA,NA,"+1 703-860-5996","200317571",NA,NA,"yes",NA,NA,NA,"yes",NA,"https://www.exxon.com/en/find-station/exxon-reston-va-aplus79-200317571",NA,NA,"-77.3569131","38.9471558"
"935884217","Mobil",NA,"Reston",NA,"11410","20190","VA","North Shore Drive",NA,"fuel",NA,NA,NA,NA,NA,"Mobil",NA,"Q109676002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.3402994","38.9703777"
"950682893","Sunoco",NA,"Arlington",NA,"4601","22201","VA","Washington Boulevard",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1-703-528-0646","0111719100",NA,NA,"yes",NA,NA,NA,NA,NA,"https://www.sunoco.com/locations/store/4601-n-washington-blvd-arlington-va-0111719100",NA,NA,"-77.1177704","38.885715"
"1269978293","Exxon",NA,"Herndon",NA,"2990","20171","VA","Centreville Road",NA,"fuel",NA,NA,NA,"yes",NA,"Exxon",NA,"Q109675651",NA,"yes",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/7",NA,NA,"yes",NA,NA,NA,NA,NA,"yes",NA,NA,NA,"+1 703-435-9104","200317570",NA,NA,"yes",NA,NA,NA,NA,NA,"https://www.exxon.com/en/find-station/exxon-herndon-va-uppys78-200317570",NA,NA,"-77.4171505","38.9245628"
"1276008223","7-Eleven",NA,"Manassas","US","11007","20110-2023","VA","Nokesville Road",NA,"fuel",NA,NA,NA,NA,NA,"7-Eleven",NA,"Q259340",NA,NA,NA,NA,NA,NA,NA,NA,"7 Eleven",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1 703-392-6629",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.7-eleven.com/locations/va/manassas/11007-nokesville-rd-29104",NA,NA,"-77.5270862","38.738783"
"1652573016","Annandale Service Center",NA,"Annandale",NA,"7029","22003","VA","Columbia Pike",NA,"fuel",NA,NA,NA,NA,"restaurant",NA,NA,NA,NA,NA,NA,NA,"mexican",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.188487","38.833099"
"1652573026","Sunoco",NA,"Annandale",NA,"7206","22003","VA","Little River Turnpike",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.1938975","38.8303309"
"1653521435","Annandale Citgo",NA,"Annandale",NA,"7131","22003","VA","Columbia Pike",NA,"fuel",NA,NA,NA,NA,NA,"Citgo",NA,"Q2974437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.1917067","38.8319648"
"1653521440","BP",NA,"Annandale",NA,"7101","22003","VA","Columbia Pike",NA,"fuel",NA,NA,NA,NA,NA,"BP",NA,"Q152057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mo-Su 07:00-22:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1 703-354-4641",NA,NA,NA,NA,NA,"convenience",NA,"yes",NA,NA,NA,NA,"-77.1898613","38.8325375"
"1653903941","Exxon",NA,"Fairfax",NA,"10480","22030","VA","Lee Highway",NA,"fuel",NA,NA,NA,NA,NA,"Exxon",NA,"Q109675651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.3069993","38.8587421"
"1653903944","Shell",NA,"Fairfax",NA,"3560","22030","VA","Chain Bridge Road",NA,"fuel",NA,NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.3077695","38.8598142"
"1667273862","Dan's Merrifield Sunoco",NA,"Falls Church",NA,"8030",NA,"VA","Route 29",NA,"fuel",NA,NA,NA,NA,NA,"Sunoco",NA,"Q1423218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.2229621","38.8757954"
"1691334128","Shell",NA,"Arlington",NA,"3100","22204","VA","Columbia Pike",NA,"fuel",NA,NA,NA,"yes",NA,"Shell",NA,"Q110716465",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,"yes",NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1-703-685-0266",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://find.shell.com/us/fuel/10048696-3100-columbia-pike/en_US",NA,NA,"-77.0887269","38.8619253"
"1709085898","7-Eleven",NA,"Sterling",NA,"23131","20166","VA","Rock Hill Road",NA,"fuel",NA,NA,NA,NA,NA,"7-Eleven",NA,"Q259340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-Eleven",NA,NA,NA,"24/7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+1 703-437-0104",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.7-eleven.com/locations/va/sterling/23131-rock-hill-road-32284",NA,NA,"-77.4097624","38.9764877"
"1828203780","Shell",NA,"Vienna",NA,"8020","22182","VA","Leesburg Pike",NA,"fuel",NA,NA,NA,NA,NA,"Shell",NA,"Q110716465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-77.221439","38.91302"
